timestamp,fhr,toco
2024-06-01T09:00:00.000,145.0,3.4
2024-06-01T09:00:00.500,144.7,4.9
2024-06-01T09:00:01.000,144.7,2.1
2024-06-01T09:00:01.500,144.4,0.0
2024-06-01T09:00:02.000,144.5,4.5
2024-06-01T09:00:02.500,145.1,3.7
2024-06-01T09:00:03.000,145.1,3.9
2024-06-01T09:00:03.500,145.4,3.3
2024-06-01T09:00:04.000,145.9,6.7
2024-06-01T09:00:04.500,146.6,3.4
2024-06-01T09:00:05.000,146.7,4.3
2024-06-01T09:00:05.500,145.9,0.9
2024-06-01T09:00:06.000,146.2,2.9
2024-06-01T09:00:06.500,146.9,2.9
2024-06-01T09:00:07.000,146.2,4.1
2024-06-01T09:00:07.500,146.0,4.9
2024-06-01T09:00:08.000,145.2,3.4
2024-06-01T09:00:08.500,145.2,7.3
2024-06-01T09:00:09.000,144.5,3.3
2024-06-01T09:00:09.500,144.2,4.4
2024-06-01T09:00:10.000,144.3,5.7
2024-06-01T09:00:10.500,144.7,3.7
2024-06-01T09:00:11.000,145.7,6.6
2024-06-01T09:00:11.500,146.3,7.0
2024-06-01T09:00:12.000,146.1,5.8
2024-06-01T09:00:12.500,146.0,9.4
2024-06-01T09:00:13.000,146.7,6.9
2024-06-01T09:00:13.500,146.7,7.4
2024-06-01T09:00:14.000,146.0,5.8
2024-06-01T09:00:14.500,146.0,5.0
2024-06-01T09:00:15.000,146.7,6.9
2024-06-01T09:00:15.500,146.7,7.6
2024-06-01T09:00:16.000,147.2,7.7
2024-06-01T09:00:16.500,146.9,9.9
2024-06-01T09:00:17.000,147.6,5.5
2024-06-01T09:00:17.500,148.2,7.7
2024-06-01T09:00:18.000,148.4,6.9
2024-06-01T09:00:18.500,148.8,12.0
2024-06-01T09:00:19.000,148.4,9.5
2024-06-01T09:00:19.500,148.8,9.9
2024-06-01T09:00:20.000,148.4,9.4
2024-06-01T09:00:20.500,148.0,12.8
2024-06-01T09:00:21.000,148.9,11.2
2024-06-01T09:00:21.500,148.3,12.5
2024-06-01T09:00:22.000,148.7,9.5
